Company_Identifier,CompanyName,Year,URL,Source_Page,Title,Source
S19,Nordea Bank Abp,2021,https://www.nordea.com/fi/doc/toimielinten-palkitsemisraportti-2021.pdf,https://mfn.se/cis/a/nordea/nordean-vuosiraportoinnin-kokonaisuus-2021-on-julkaistu-sisaltaa-vastuullisuusraportoinnin-0a878696,Annual Report 2021 (MFN/Cision),mfn
S19,Nordea Bank Abp,2022,https://mb.cision.com/Public/434/3725516/812c3dee2915cff3.pdf,https://mfn.se/cis/a/nordea-bank/nordea-has-published-its-annual-reporting-for-2022-0bc7b0ef,Annual Report 2022 (MFN/Cision),mfn
S19,Nordea Bank Abp,2022,https://mb.cision.com/Public/434/3725516/8cee4e6c5cacc9c1.pdf,https://mfn.se/cis/a/nordea-bank/nordea-has-published-its-annual-reporting-for-2022-0bc7b0ef,Annual Report 2022 (MFN/Cision),mfn
S19,Nordea Bank Abp,2022,https://mb.cision.com/Public/434/3602476/bdb6152164c00100.pdf,https://mfn.se/cis/a/nordea/nordea-half-year-results-2022-bbf5ef5e,Annual Report 2022 (MFN/Cision),mfn
S19,Nordea Bank Abp,2022,https://mb.cision.com/Public/434/3602476/8a3b1179c1d2273f.pdf,https://mfn.se/cis/a/nordea/nordea-half-year-results-2022-bbf5ef5e,Annual Report 2022 (MFN/Cision),mfn
S19,Nordea Bank Abp,2023,https://mb.cision.com/Main/434/3935418/2626561.pdf,https://mfn.se/cis/a/nordea-bank/nordea-has-published-its-annual-reporting-for-2023-1e0ef114,Annual Report 2023 (MFN/Cision),mfn
S19,Nordea Bank Abp,2023,https://mb.cision.com/Public/434/3935418/99b4bdbf2e306457.pdf,https://mfn.se/cis/a/nordea-bank/nordea-has-published-its-annual-reporting-for-2023-1e0ef114,Annual Report 2023 (MFN/Cision),mfn
S19,Nordea Bank Abp,2023,https://mb.cision.com/Public/434/3935418/8ff094afabb7417c.pdf,https://mfn.se/cis/a/nordea-bank/nordea-has-published-its-annual-reporting-for-2023-1e0ef114,Annual Report 2023 (MFN/Cision),mfn
S19,Nordea Bank Abp,2023,https://mb.cision.com/Public/434/3805720/a8f89645383c0bab.pdf,https://mfn.se/cis/a/nordea-bank/nordea-half-year-results-2023-a5248080,Annual Report 2023 (MFN/Cision),mfn
S19,Nordea Bank Abp,2023,https://mb.cision.com/Public/434/3805720/916bf7e0e097c327.pdf,https://mfn.se/cis/a/nordea-bank/nordea-half-year-results-2023-a5248080,Annual Report 2023 (MFN/Cision),mfn
S20,SAAB B,2019,https://mb.cision.com/Main/183/3052150/1205537.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-annual-and-sustainability-report-2019-a3aae5a4,Annual Report 2019 (MFN/Cision),mfn
S20,SAAB B,2019,https://mb.cision.com/Public/183/3052150/a4884edc2fbcc65d.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-annual-and-sustainability-report-2019-a3aae5a4,Annual Report 2019 (MFN/Cision),mfn
