Eltel	SEK	9.24	-0.04	-0.43%	9.24	9.40	30,018	275,584	18:00:00
Embracer Group B	SEK	52.36	+0.42	+0.80%	51.99	52.10	1,106,260	57,195,971	18:00:00
Enad Global 7	SEK	13.36	-0.20	-1.47%	13.42	13.48	41,424	556,409	18:00:00
Enea	SEK	77.40	-0.70	-0.89%	77.20	77.60	18,084	1,398,372	18:00:00
engcon B	SEK	81.80	-0.30	-0.36%	81.60	82.20	61,716	5,052,069	18:00:00
Eniro Group	SEK	0.368	-0.005	-1.34%	0.364	0.368	473,533	172,886	18:00:00
Enity Holding	SEK	113.18	+4.00	+3.66%	112.60	113.16	91,587	10,320,954	18:00:00
Eolus B	SEK	42.50	-0.75	-1.73%	42.45	42.70	40,240	1,711,107	18:00:00
Ependion	SEK	108.40	-1.20	-1.09%	108.20	109.00	3,512	381,632	18:00:00
Epiroc A	SEK	228.70	0.00	0.00%	228.70	228.90	1,068,566	244,398,895	18:00:00
Epiroc B	SEK	201.20	-0.60	-0.29%	200.60	201.00	303,342	61,029,574	18:00:00
Episurf B	SEK	0.033	+0.0009	+2.80%	0.0319	0.032	5,856,132	190,212	18:00:00
EQL Pharma	SEK	57.30	+0.90	+1.59%	57.30	57.60	16,024	917,573	18:00:00
EQT	SEK	367.10	+3.20	+0.87%	368.10	368.30	1,187,038	434,905,131	18:00:00
Ericsson A	SEK	87.40	-1.20	-1.35%	87.20	87.50	31,944	2,796,632	18:00:00
Ericsson B	SEK	87.52	-0.80	-0.90%	87.22	87.24	12,169,607	1,063,178,033	18:00:00
Essity A	SEK	271.50	+1.00	+0.36%	271.00	271.50	15,940	4,323,032	18:00:00
Essity B	SEK	272.00	+1.10	+0.40%	271.30	271.40	1,628,103	442,004,924	18:00:00
Evolution	SEK	600.60	-4.80	-0.79%	600.20	600.40	820,771	490,937,855	18:00:00
Ework Group	SEK	96.50	0.00	0.00%	96.40	96.70	13,532	1,300,213	18:00:00
Fabege	SEK	83.00	-1.50	-1.77%	82.95	83.05	339,655	28,293,221	18:00:00
Fagerhult Group	SEK	39.55	+0.15	+0.38%	39.50	39.65	41,031	1,617,454	18:00:00
Fasadgruppen Group	SEK	29.90	-0.75	-2.44%	29.75	29.90	77,401	2,306,157	18:00:00
Fast. Balder B	SEK	68.20	-0.64	-0.92%	68.18	68.26	1,235,358	84,343,673	18:00:00
Fastator	SEK	0.685	+0.015	+2.23%	0.666	0.685	325,375	210,441	18:00:00
Fastighetsbolaget Emilshus B	SEK	53.40	-0.30	-0.55%	53.50	53.70	77,463	4,171,998	18:00:00
Fastpartner A	SEK	47.45	-0.70	-1.45%	47.35	47.75	83,224	3,955,092	18:00:00
Fastpartner D	SEK	75.80	+0.20	+0.26%	75.70	75.80	4,412	333,979	18:00:00
Fenix Outdoor International B	SEK	503.00	-1.00	-0.19%	505.00	515.00	764	387,782	18:00:00
Ferronordic	SEK	46.60	+0.60	+1.30%	46.45	46.60	8,592	398,141	18:00:00
