CompanyName	Company_Identifier	What_to_capture	FiscalYear	IR_URL	Capture_attempt_date	AgentId	CaptureStatus	CaptureStatusDetails	milestone1_Establish_Connection	milestone2_Find_object_to_capture	milestone3_download_object	Milestone4_object_passed_validation	Report_URL	Source_Page	Pages	Size_MB	Probability_Annual_Report	Document_Type	Classification_Reasoning	User_Agent_Used	Validation_Status	Validation_Confidence	Validation_Issues	Validation_Date	Priority	Failure_Reason
Evolution	S12	Annual report	2020	https://www.evolution.com/investors/ir-contacts/	2025-12-22	A1	Downloaded	Successfully validated: 129 pages, 81.1% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.evolution.com/investors/ir-contacts/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	81.1%		2025-12-22 00:46:46	Complete ✓	
Evolution	S12	Annual report	2021	https://www.evolution.com/investors/ir-contacts/	2025-12-22	A1	Downloaded	Successfully validated: 117 pages, 77.9% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.evolution.com/investors/ir-contacts/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	77.9%		2025-12-22 00:46:46	Complete ✓	
Evolution	S12	Annual report	2022	https://www.evolution.com/investors/ir-contacts/	2025-12-22	A1	Validated	Report not found during search	Pass	Failed	Not Attempted	Not Attempted	https://mb.cision.com/Main/12069/3735605/1921487.pdf	https://mfn.se/cis/a/evolution/evolution-annual-report-2022-6290af36	121.0	8.58	0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	78.9%		2026-01-17 15:57:11	Complete ✓	No report URL found for 2022 (found 0 reports for other years)
Evolution	S12	Annual report	2023	https://www.evolution.com/investors/ir-contacts/	2025-12-22	A1	Downloaded	Successfully validated: 121 pages, 78.9% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.evolution.com/investors/ir-contacts/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	78.9%		2025-12-22 00:46:45	Complete ✓	
Evolution	S12	Annual report	2024	https://www.evolution.com/investors/ir-contacts/	2025-12-22	A1	Downloaded	Successfully validated: 117 pages, 77.9% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.evolution.com/investors/ir-contacts/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	77.9%		2025-12-22 00:46:46	Complete ✓	
Hexagon B	S14	Annual report	2019	https://hexagongroup.com/investors/	2025-12-22	A1	Downloaded	Successfully validated: 178 pages, 94.1% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://hexagongroup.com/investors/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	94.1%		2025-12-22 00:46:45	Complete ✓	
Hexagon B	S14	Annual report	2020	https://hexagongroup.com/investors/	2025-12-22	A1	Validated	Validation failed: Year 2020 not found in PDF	Pass	Pass	Skipped	Failed	https://mb.cision.com/Main/387/3318474/1396045.pdf	https://mfn.se/cis/a/hexagon/hexagon-publishes-the-annual-report-and-sustainability-report-2020-0b9b3bd0	88.0	5.11		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	70.1%		2026-01-17 15:57:11	Complete ✓	Validation failed: Year 2020 not found in PDF
Hexagon B	S14	Annual report	2021	https://hexagongroup.com/investors/	2025-12-22	A1	Downloaded	Successfully validated: 185 pages, 96.0% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://hexagongroup.com/investors/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	96.0%		2025-12-22 00:46:45	Complete ✓	
Hexagon B	S14	Annual report	2022	https://hexagongroup.com/investors/	2025-12-22	A1	Downloaded	Successfully validated: 177 pages, 93.9% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://hexagongroup.com/investors/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	93.9%		2025-12-22 00:46:45	Complete ✓	
Hexagon B	S14	Annual report	2023	https://hexagongroup.com/investors/	2025-12-22	A1	Downloaded	Successfully validated: 201 pages, 100.0% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://hexagongroup.com/investors/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	100.0%		2025-12-22 00:46:44	Complete ✓	
